build/assets.js: line 16, col 24, eval is evil.
build/assets.js: line 32, col 10, Don't make functions within a loop.
build/ShaderGeneration.js: line 19, col 2, Mixed spaces and tabs.
build/ShaderGeneration.js: line 19, col 42, Use '===' to compare with '0'.
build/ShaderGeneration.js: line 31, col 38, Use '===' to compare with '0'.
build/ShaderGeneration.js: line 45, col 13, Don't make functions within a loop.
build/ShaderGeneration.js: line 44, col 14, Missing semicolon.
build/ShaderGeneration.js: line 47, col 10, Unnecessary semicolon.
build/chunk.js: line 19, col 1, Mixed spaces and tabs.
build/chunk.js: line 25, col 1, Mixed spaces and tabs.
build/chunk.js: line 39, col 6, Mixed spaces and tabs.
build/chunk.js: line 41, col 4, Mixed spaces and tabs.
build/chunk.js: line 42, col 4, Mixed spaces and tabs.
build/chunk.js: line 43, col 4, Mixed spaces and tabs.
build/chunk.js: line 44, col 8, Mixed spaces and tabs.
build/chunk.js: line 45, col 4, Mixed spaces and tabs.
build/chunk.js: line 46, col 4, Mixed spaces and tabs.
build/chunk.js: line 47, col 4, Mixed spaces and tabs.
build/chunk.js: line 50, col 4, Mixed spaces and tabs.
build/chunk.js: line 51, col 4, Mixed spaces and tabs.
build/chunk.js: line 53, col 4, Mixed spaces and tabs.
build/chunk.js: line 54, col 4, Mixed spaces and tabs.
build/chunk.js: line 55, col 2, Mixed spaces and tabs.
build/chunk.js: line 70, col 4, Mixed spaces and tabs.
build/chunk.js: line 71, col 4, Mixed spaces and tabs.
build/chunk.js: line 72, col 4, Mixed spaces and tabs.
build/chunk.js: line 73, col 4, Mixed spaces and tabs.
build/chunk.js: line 74, col 4, Mixed spaces and tabs.
build/chunk.js: line 74, col 36, Use '===' to compare with '0'.
build/chunk.js: line 75, col 4, Mixed spaces and tabs.
build/chunk.js: line 76, col 4, Mixed spaces and tabs.
build/chunk.js: line 77, col 4, Mixed spaces and tabs.
build/chunk.js: line 78, col 4, Mixed spaces and tabs.
build/chunk.js: line 79, col 4, Mixed spaces and tabs.
build/chunk.js: line 80, col 4, Mixed spaces and tabs.
build/chunk.js: line 81, col 4, Mixed spaces and tabs.
build/chunk.js: line 83, col 4, Mixed spaces and tabs.
build/chunk.js: line 83, col 40, Use '===' to compare with '0'.
build/chunk.js: line 84, col 4, Mixed spaces and tabs.
build/chunk.js: line 85, col 4, Mixed spaces and tabs.
build/chunk.js: line 86, col 4, Mixed spaces and tabs.
build/chunk.js: line 87, col 4, Mixed spaces and tabs.
build/chunk.js: line 88, col 4, Mixed spaces and tabs.
build/chunk.js: line 131, col 19, 'x' is already defined.
build.js: line 3, col 32, Missing semicolon.
build.js: line 4, col 36, Missing semicolon.
build.js: line 29, col 5, Missing semicolon.
data/assets/models/Hovercraft.js: line 3, col 10812, Extra comma.
data/assets/models/Hovercraft.js: line 6, col 11064, Extra comma.
data/assets/models/Hovercraft.js: line 7, col 6848, Extra comma.
node_modules/stitch/test/fixtures/link/custom_exports.js: line 3, col 2, Missing semicolon.
node_modules/stitch/test/fixtures/link/circular/b.js: line 4, col 2, Missing semicolon.
node_modules/stitch/test/fixtures/default/custom_exports.js: line 3, col 2, Missing semicolon.
node_modules/stitch/test/fixtures/default/circular/b.js: line 4, col 2, Missing semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 4, col 9, ['auto'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 104, col 9, ['waterfall'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 213, col 9, ['parallel'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 269, col 53, Extra comma.
node_modules/stitch/node_modules/async/test/test-async.js: line 307, col 9, ['series'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 365, col 53, Extra comma.
node_modules/stitch/node_modules/async/test/test-async.js: line 403, col 9, ['iterator'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 459, col 9, ['forEach'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 493, col 9, ['forEachSeries'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 530, col 9, ['forEachLimit'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 611, col 9, ['map'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 646, col 9, ['mapSeries'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 670, col 9, ['reduce'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 684, col 52, Missing semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 711, col 9, ['reduceRight'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 730, col 9, ['filter'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 750, col 9, ['filterSeries'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 769, col 9, ['reject'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 789, col 9, ['rejectSeries'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 876, col 9, ['detect'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 910, col 9, ['detectSeries'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 944, col 9, ['sortBy'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 953, col 9, ['apply'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 956, col 68, Missing semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 964, col 58, Missing semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 1037, col 9, ['nextTick'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 1098, col 9, ['concat'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 1129, col 9, ['concatSeries'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 1150, col 9, ['until'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 1171, col 45, Extra comma.
node_modules/stitch/node_modules/async/test/test-async.js: line 1179, col 9, ['whilst'] is better written in dot notation.
